instancia,num,valor_otimo,seed_42,seed_101,seed_202,seed_303,seed_404,melhor_valor,erro
wee-mag,79,19.0,163.0,196.0,190.0,248.0,245.0,163.0,144.0
heskia,7,116.0,120.0,155.0,158.0,228.0,150.0,120.0,4.0
roszieg,7,21.0,28.0,65.0,65.0,27.0,40.0,27.0,6.0
tonge,7,94.0,291.0,589.0,731.0,397.0,481.0,291.0,197.0
wee-mag,7,24.0,124.0,121.0,118.0,96.0,182.0,96.0,72.0
heskia,80,76.0,90.0,143.0,141.0,141.0,93.0,90.0,14.0
roszieg,80,14.0,40.0,20.0,26.0,27.0,27.0,20.0,6.0
tonge,80,60.0,533.0,377.0,353.0,503.0,628.0,353.0,293.0
wee-mag,80,16.0,142.0,223.0,202.0,196.0,254.0,142.0,126.0
heskia,8,86.0,86.0,111.0,111.0,117.0,100.0,86.0,0.0
roszieg,8,20.0,27.0,27.0,33.0,29.0,25.0,25.0,5.0
tonge,8,104.0,295.0,268.0,760.0,462.0,228.0,228.0,124.0
wee-mag,8,27.0,106.0,114.0,117.0,148.0,144.0,106.0,79.0
heskia,9,95.0,107.0,102.0,103.0,119.0,124.0,102.0,7.0
roszieg,9,22.0,25.0,46.0,33.0,33.0,48.0,25.0,3.0
tonge,9,69.0,182.0,170.0,198.0,193.0,188.0,170.0,101.0
wee-mag,9,25.0,150.0,92.0,137.0,146.0,105.0,92.0,67.0
